Número;Família;Gênero;sp;autor;Hábito;Origem;Substrato;Endemismo
132;Malpighiaceae;Banisteriopsis;megaphylla;(A.Juss.) B.Gates;Arbusto;Nativa;Terrícola;sim
133;Malpighiaceae;Heteropterys;campestris;A.Juss.;Liana/volúvel/trepadeira, Subarbusto;Nativa;Terrícola;desconhecido
148;Malpighiaceae;Banisteriopsis;latifolia;(A.Juss.) B.Gates;Árvore;Nativa;Terrícola;sim
149;Malpighiaceae;Byrsonima;crassifolia;(L.) Kunth;Árvore;Nativa;Terrícola;não
152;Malpighiaceae;Byrsonima;crassifolia;(L.) Kunth;Árvore;Nativa;Terrícola;não
25;Malvaceae;Pavonia;grandiflora;A.St.-Hil.;Arbusto;Nativa;Terrícola;sim
37;Malvaceae;Byttneria;affinis;Pohl;Subarbusto;Nativa;Terrícola;sim
161;Malvaceae;Pavonia;pohlii;Gürke;Arbusto;Nativa;Terrícola;sim
93;Melastomataceae;Tibouchina;aegopogon;(Naudin) Cogn.;Subarbusto;Nativa;Terrícola;não
95;Melastomataceae;Miconia;pepericarpa;DC.;Arbusto, Árvore;Nativa;Terrícola;não
97;Melastomataceae;Miconia;staminea;(Desr.) DC.;Arbusto, Árvore;Nativa;Terrícola;não
98;Melastomataceae;Miconia;;;;;;
100;Melastomataceae;;;;;;;
116;Melastomataceae;Leandra;adenotrhix;Cogn.;Arbusto;Nativa;Terrícola;sim
146;Melastomataceae;Miconia;burchellii;Triana;Arbusto;Nativa;Terrícola;sim
151;Melastomataceae;Miconia;pepericarpa;DC.;Arbusto, Árvore;Nativa;Terrícola;não
159;Melastomataceae;Pleroma;stenocarpum;(Schrank et Mart. ex DC.) Triana;Árvore;Nativa;Terrícola;não
163;Melastomataceae;;;;;;;
181;Melastomataceae;Miconia;;;;;;
50;Myrtaceae;Myrcia;splendens;(Sw.) DC.;Árvore;Nativa;Terrícola;não
52;Myrtaceae;Myrcia;guianensis;(Aubl.) DC.;Arbusto, Árvore, Subarbusto;Nativa;Terrícola;não
53;Myrtaceae;Myrcia;guianensis;(Aubl.) DC.;Arbusto, Árvore, Subarbusto;Nativa;Terrícola;não
54;Myrtaceae;Myrcia;splendens;(Sw.) DC.;Árvore;Nativa;Terrícola;não
76;Myrtaceae;Myrcia;tomentosa;(Aubl.) DC.;Arbusto, Árvore;Nativa;Terrícola;não
153;Myrtaceae;Myrcia;tomentosa;(Aubl.) DC.;Arbusto, Árvore;Nativa;Terrícola;não
155;Myrtaceae;Myrcia;splendens;(Sw.) DC.;Árvore;Nativa;Terrícola;não
75;Nyctaginaceae;Guapira;noxia;(Netto) Lundell;Arbusto, Árvore;Nativa;Terrícola;sim
